partipcod,parnom,disnom,cornom,nivel,latitud,longitud,tipodet,ts,nivel_lbl
1,Alfredo Mendiola (Lateral)-Av Carlos Izaguirre,Independencia,NA,1,-11.990531,-77.063416,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Av Los Claveles (Alt Modasa),Lurin,NA,1,-12.291011,-76.856171,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Av Los Lamos,Lurin,NA,1,-12.256949,-76.888313,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Av Manuel Del Valle,Lurin,NA,1,-12.260649,-76.883743,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Av Martir Olaya,Lurin,NA,1,-12.294962,-76.85218,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Av San Pedro,Lurin,NA,1,-12.273962,-76.872246,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Ca Granada,Lurin,NA,1,-12.263834,-76.881348,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Ca Julio C Tello,Lurin,NA,1,-12.252651,-76.898033,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Ca Los Laureles,Lurin,NA,1,-12.258811,-76.886269,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Calle Los Pinos,Lurin,NA,1,-12.271678,-76.87439,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Calle 1,Lurin,NA,1,-12.277991,-76.869095,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Calle 7,Lurin,NA,1,-12.280013,-76.867126,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Calle 8,Lurin,NA,1,-12.282874,-76.864502,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Jr Cahuide,Lurin,NA,1,-12.297072,-76.850037,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Jr Independiente,Lurin,NA,1,-12.292969,-76.854019,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Jr Los Eucaliptos,Lurin,NA,1,-12.254294,-76.89119,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Jr Los Olivos,Lurin,NA,1,-12.253244,-76.900436,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Jr Pejerrey,Lurin,NA,1,-12.299495,-76.847572,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Jr Tarapaca,Lurin,NA,2,-12.277115,-76.869667,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Km 345 (Paradero Ladrillera),Lurin,NA,1,-12.266464,-76.879005,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Km 35 (Alt Comercializadora Ramirez),Lurin,NA,1,-12.270391,-76.875381,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Antigua Panamericana Sur (Tramo: Av Los Olivos - Calle Las Gardenias)-Km 37 (Alt Casas Pre-Fabricadas JAL),Lurin,NA,1,-12.286545,-76.860832,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Auxiliar Jr Ancash-Av Sebastian Lorente,Lima,NA,3,-12.044235,-77.012367,Transporte Regular,2021-05-15T20:22:17Z,Muy Alto
1,Av A-Av Antonio Raimondi,Cieneguilla,NA,1,-12.069738,-76.757484,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av A-Av B,Cieneguilla,NA,1,-12.075255,-76.761131,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av A-Av D,Cieneguilla,NA,1,-12.094131,-76.7752,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av A-Av Independencia,Cieneguilla,NA,1,-12.082453,-76.769753,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Abancay (Tramo: Puente Ricardo Palma - Av Miguel Grau)-Jr Huallaga,Lima,NA,2,-12.04856,-77.027229,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Abancay (Tramo: Puente Ricardo Palma - Av Miguel Grau)-Jr Leticia,Lima,NA,2,-12.056463,-77.030029,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Abancay (Tramo: Puente Ricardo Palma - Av Miguel Grau)-Jr Puno,Lima,NA,1,-12.052622,-77.029366,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Abancay (Tramo: Puente Ricardo Palma - Av Miguel Grau)-JrAmazonas,Lima,NA,2,-12.045138,-77.025208,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av A-Ca Los Laureles,Cieneguilla,NA,1,-12.080218,-76.768333,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av A-Ca 29,Cieneguilla,NA,1,-12.089782,-76.771576,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av A-Ca 32,Cieneguilla,NA,1,-12.08789,-76.770821,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av A-Ca 35,Cieneguilla,NA,1,-12.08492,-76.770401,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av A-Ca 39,Cieneguilla,NA,1,-12.07759,-76.763786,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av A-Ca 46,Cieneguilla,NA,1,-12.076946,-76.763435,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av A-Ca 58,Cieneguilla,NA,1,-12.072788,-76.759453,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda De La Paz-Ca Los Aromos,La Molina,NA,1,-12.098135,-76.94825,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda De La Paz-Las Rinconada,La Molina,NA,1,-12.098118,-76.94677,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda De La Paz-Pasaje El Abra,La Molina,NA,1,-12.098899,-76.948807,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Alameda De La Paz,La Molina,NA,1,-12.099443,-76.950279,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Av Castilla La Nueva,La Molina,NA,2,-12.107893,-76.944565,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Alameda Del Corregidor-Av La Universidad,La Molina,NA,1,-12.076671,-76.954353,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Av Los Condores,La Molina,NA,2,-12.10384,-76.948128,Transporte Regular,2021-05-15T20:22:17Z,Alto
1,Av Alameda Del Corregidor-Av Raal Ferrero,La Molina,NA,1,-12.091473,-76.953094,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca Alicante,La Molina,NA,1,-12.10598,-76.946732,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca Badajoz,La Molina,NA,1,-12.1094,-76.943306,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca Cisne,La Molina,NA,1,-12.113332,-76.941109,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca El Camino,La Molina,NA,1,-12.102057,-76.94915,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca El Monte,La Molina,NA,1,-12.099783,-76.950302,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca La Arboleda,La Molina,NA,1,-12.095307,-76.952225,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca Las Amapolas,La Molina,NA,1,-12.081318,-76.955948,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca Las Tipuanas,La Molina,NA,1,-12.085758,-76.957184,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca Lineas De Nazca,La Molina,NA,1,-12.115012,-76.937561,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca Los Bambdes,La Molina,NA,1,-12.09315,-76.95266,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca Los Datileros,La Molina,NA,1,-12.093541,-76.952805,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca Los Ombdes,La Molina,NA,1,-12.097702,-76.95105,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca Los Sauces,La Molina,NA,1,-12.088583,-76.954605,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca Rio Amarillo,La Molina,NA,1,-12.116047,-76.939651,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca Rio Magdalena,La Molina,NA,1,-12.116011,-76.939468,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca Soria,La Molina,NA,1,-12.105227,-76.947189,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca Vascongadas,La Molina,NA,1,-12.109244,-76.943245,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Ca Volcen Solimana,La Molina,NA,1,-12.113122,-76.941391,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alameda Del Corregidor-Jr Visitador,La Molina,NA,1,-12.097778,-76.951187,Transporte Regular,2021-05-15T20:22:17Z,Moderado
1,Av Alfonso Ugarte-Av El Triunfo,Ate,NA,3,-12.029352,-76.913635,Transporte Regular,2021-05-15T20:22:17Z,Muy Alto
